item_type,total_sales,total_sales,total_items
Fruits_and_Vegetables,178124,144.5812,1232
Snack_Foods,175442,146.2017,1200
Household,135985,149.4341,910
Frozen_Foods,118566,138.5117,856
Dairy,101276,148.4985,682
Canned,90706,139.7627,649
Baking_Goods,81886,126.3673,648
Health_and_Hygiene,68012,130.7923,520
Meat,59447,139.8753,425
Soft_Drinks,58507,131.4764,445
Breads,35389,140.9920,251
Hard_Drinks,29334,137.0748,214
Others,22456,132.8757,169
"Starchy Foods",21886,147.8784,148
Breakfast,15599,141.8091,110
Seafood,9078,141.8438,64
